,Year,Month,Interest_rate
0,2018,OCT,4.5
1,2019,APR,4.75
2,2019,AUG,4.25
3,2020,JAN,4.0
4,2020,APR,2.75
5,2021,JAN,2.0
6,2022,APR,2.0
7,2022,JUL,3.25
8,2023,FEB,6.0
9,2024,OCT,6.0
